GBSP13111-19;Acanthogyrus cheni
GBSP13127-19;Atactorhynchus duranguensis
GBSP13126-19;Atactorhynchus duranguensis
GBMNA12668-19;Paratenuisentis ambiguus
GBMTG3025-16;Paratenuisentis ambiguus
GBMHH7497-15;Hebesoma violentum
GBSP13123-19;Mayarhynchus karlae
GBSP13121-19;Mayarhynchus karlae
GBSP13119-19;Neoechinorhynchus emyditoides
GBSP13118-19;Neoechinorhynchus emyditoides
GBSP13117-19;Neoechinorhynchus chimalapasensis
GBSP13116-19;Neoechinorhynchus chimalapasensis
GBSP13113-19;Neoechinorhynchus golvani
GBSP13114-19;Neoechinorhynchus panucensis
GBSP13115-19;Neoechinorhynchus brentnickoli
GBSP13125-19;Neoechinorhynchus mexicoensis
GBSP13124-19;Neoechinorhynchus mexicoensis
CNCHA1497-11;Acanthocephala granulosa
CNCHA1502-11;Acanthocephala terminalis
CNCHA1501-11;Acanthocephala terminalis
GMGSE463-12;Acanthocephala confraterna
CNCHA1491-11;Acanthocephala confraterna
GBSP0289-06;Moniliformis moniliformis
GBSP7831-13;Mediorhynchus gallinarum
GBSP13143-19;Oligacanthorhynchus tortuosa
GBSP13141-19;Oligacanthorhynchus tortuosa
GBSP13574-19;Moniliformis kalahariensis
GBMIN135079-18;Macracanthorhynchus ingens
GBMIN135078-18;Macracanthorhynchus ingens
GBMNA12665-19;Macracanthorhynchus hirudinaceus
GBMTG3024-16;Macracanthorhynchus hirudinaceus
GBMTG2023-16;Oncicola luehei
GBMNA12666-19;Oncicola luehei
GBSP13128-19;Prosthenorchis elegans
GBSP13129-19;Prosthenorchis elegans
GBSP13664-19;Polyacanthorhynchus caballeroi
GBMNA12674-19;Polyacanthorhynchus caballeroi
GBSP13389-19;Pseudoacanthocephalus toshimai
GBSP13388-19;Pseudoacanthocephalus toshimai
GBSP13393-19;Pseudoacanthocephalus lucidus
GBSP13394-19;Pseudoacanthocephalus lucidus
GBMIN193-12;Acanthocephalus lucii
GBMIN200-12;Acanthocephalus lucii
GBSP0428-06;Acanthocephalus anguillae
GBSP0429-06;Acanthocephalus anguillae
GBSP3362-11;Acanthocephalus dirus
GBSP0430-06;Acanthocephalus clavula
GBSP13403-19;Acanthocephalus nanus
GBSP13372-19;Pomphorhynchus zhoushanensis
GBSP13373-19;Pomphorhynchus zhoushanensis
GBSP13375-19;Longicollum pagrosomi
ACANT025-18;Pomphorhynchus tereticollis
ACANT027-18;Pomphorhynchus tereticollis
ACANT036-18;Pomphorhynchus laevis
GBSP13452-19;Pomphorhynchus laevis
ACANT010-18;Pomphorhynchus bosniacus
ACANT002-18;Pomphorhynchus bosniacus
GBMHH7361-15;Echinorhynchus salmonis
GBSP1293-06;Dollfusentis chandleri
GBSP1292-06;Dollfusentis chandleri
GBSP0674-06;Leptorhynchoides thecatus
GBSP0676-06;Leptorhynchoides thecatus
GBSP8570-13;Arhythmorhynchus frassoni
GBSP13595-19;Neorhadinorhynchus nudus
GBSP13587-19;Neorhadinorhynchus nudus
GBMNA12671-19;Centrorhynchus aluconis
GBSP13577-19;Centrorhynchus aluconis
GBSP13660-19;Sphaerirostris lanceoides
GBSP13661-19;Sphaerirostris lanceoides
GBMHH7357-15;Echinorhynchus cinctulus
GBMHH7355-15;Echinorhynchus brayi
GBMHH7362-15;Echinorhynchus truttae
GBMTG3027-16;Echinorhynchus truttae
GBMHH7358-15;Echinorhynchus gadi
GBMHH7359-15;Echinorhynchus gadi
GBMHH7354-15;Echinorhynchus bothniensis
GBMHH7356-15;Echinorhynchus cf. bothniensis
GBMHH3658-14;Ibirhynchus dimorpha
GBSP13596-19;Plagiorhynchus transversus
GBMNA12672-19;Plagiorhynchus transversus
GBSP8563-13;Polymorphus obtusus
GBSP13256-19;Profilicollis altmani
GBSP13231-19;Profilicollis altmani
GBSP13211-19;Profilicollis botulus
GBSP13197-19;Profilicollis botulus
GBSP13626-19;Profilicollis novaezelandensis
GBSP13654-19;Profilicollis novaezelandensis
GBSP13237-19;Profilicollis chasmagnathi
GBMIN135175-18;Profilicollis chasmagnathi
GBMIN135167-18;Profilicollis antarcticus
GBMIN135164-18;Profilicollis antarcticus
GBSP8561-13;Profilicollis bullocki
GBSP13529-19;Serrasentis sagittifer
GBSP13531-19;Serrasentis sagittifer
GBSP8564-13;Polymorphus brevis
GBSP5062-13;Polymorphus brevis
GBSP13576-19;Andracantha phalacrocoracis
GBSP13239-19;Corynosoma hannae
GBSP13240-19;Corynosoma hannae
GBSP13582-19;Corynosoma australe
